author,n_downloads,n_books
Agatha Christie,431,1
Alexandre Dumas,481,1
Ambrose Bierce,307,1
Arthur Conan Doyle,2176,4
Ayn Rand,891,1
Beatrix Potter,278,1
Bernard Shaw,420,1
Bram Stoker,610,1
Charles Dickens,3414,6
Charlotte Brontë,567,1
Charlotte Perkins Gilman,1064,1
Daniel Defoe,1726,2
Dante Alighieri,510,2
Edgar Allan Poe,2180,2
Emily Brontë,389,1
Frances Hodgson Burnett,512,1
Franz Kafka,725,1
Frederick Douglass,364,1
Friedrich Wilhelm Nietzsche,600,2
Fyodor Dostoyevsky,776,2
Giovanni Boccaccio,612,1
graf Leo Tolstoy,776,2
H. C. McNeile,261,1
H. G. Wells,848,2
Harriet Beecher Stowe,312,1
Henrik Ibsen,1224,1
Henry David Thoreau,642,1
Henry James,230,1
Herman Melville,825,1
Hermann Hesse,386,1
Homer,547,2
Ingersoll Lockwood,298,1
J. M. Barrie,623,1
Jack London,1610,2
Jacob Grimm and Wilhelm Grimm,696,1
James Joyce,892,2
Jane Austen,3039,3
Jefferson,461,1
Jerome K. Jerome,284,1
John Camden Hotten,297,1
John Locke,224,1
Jonathan Swift,1454,2
Joseph Conrad,701,1
Kahlil Gibran,305,1
Kate Chopin,590,1
L. Frank Baum,484,1
L. M. Montgomery,478,1
Lewis Carroll,1634,2
Louisa May Alcott,803,1
Ludwig Wittgenstein,368,1
Mark Twain,1809,2
Mary Wollstonecraft Shelley,2125,2
Michel de Montaigne,317,1
Miguel de Cervantes Saavedra,261,1
Nathaniel Hawthorne,556,1
Niccolò Machiavelli,512,1
O. Henry,291,1
Oscar Wilde,2138,2
Otto Weininger,243,1
Plato,1402,2
Robert Louis Stevenson,2240,2
Robert S. Ball,256,1
Rudyard Kipling,309,1
Thomas Hobbes,276,1
Upton Sinclair,307,1
Various,244,1
Vatsyayana,349,1
Victor Hugo,353,1
Voltaire,227,1
W. E. B. Du Bois,324,1
Washington Irving,250,1
NA,738,2
